Part No.,Description,Order,Cost ,Price ,Model,Inventory Turnover,Sales 2024,Sales 2023,Inventory,Category,Annual Target
20451775,Metal oil pan gasket,2,6529.25,300000,FM9,Fast-moving,0,7,0,Engine,17
20588775,ENGAGING SLEEVE,10,1011.72,100000,FH12,Medium-moving,0,0,0,Gearbox,17
8171737,Shaft,10,394.8,28000,FH12,Slow-moving,0,4,4,Gearbox,17
3093230,Metal oil pan gasket,10,180,9000,FH12,Fast-moving,0,0,0,Gearbox,17
22247766,Front bumper,9,430.89,530,FH4,Fast-moving,5,17,3,Body,17
21458307,Valve,9,296.27,18000,FH12,Fast-moving,0,10,0,Engine,18
1521421,Wheel sensor,10,1530.86,175000,FH12,Slow-moving,0,2,1,Gearbox,18
84096590,mudguard widener; right,10,308.88,380,FH4,Fast-moving,1,13,0,Body,20
1077574,Rubber filter base bushing,10,454.8,27000,FH12,Fast-moving,0,5,1,Engine,21
84096591,mudguard widener; left,11,308.88,380,FH4,Fast-moving,1,14,0,Body,21
82220161,foot step,11,353.04,434,FH4,Fast-moving,2,15,0,Body,22
82858486,corner panel; left,11,279.18,343,FH4,Fast-moving,6,21,2,Body,22
21116880,Front bumper guard bracket,12,,55000,FH12,Fast-moving,0,15,0,Body,24
21448461,lip seal,12,261.79,322,FH4,Fast-moving,0,15,0,Gearbox,24
20760512,Oil filter base gasket,15,610.98,60000,FH12,Fast-moving,0,2,0,Gearbox,24
20791305,sealing ring,13,167.71,206,FH4,Fast-moving,0,16,0,Gearbox,25
3171490,SENSOR,20,343.88,25000,FH12,New product,0,0,2,Gearbox,25
1656116,Oil pump,20,194.4,10000,FH12,Dead stock,0,0,0,Gearbox,27
82258426,foot step,14,503.39,619,FH4,Fast-moving,0,19,0,Body,28
3155040,Oil pressure sensor,30,5041.79,115000,FH12-460,Dead stock,0,0,7,Engine,29
276948,O-ring kit,15,14.14,17,FH4,Fast-moving,0,28,7,Gearbox,30
82180491,foot step,15,243.61,300,FH4,Fast-moving,1,22,0,Body,30
84033228,grille,15,2226.35,2738,FH4,Fast-moving,1,23,1,Body,30
20561997,Filter water bowl,120,148.86,8000,FH13,Slow-moving,12,0,77,Engine,30
21838944,Front bumper,16,397.31,489,FH4,Fast-moving,4,26,1,Body,31
82208510,step; lower,16,1004.88,1236,FH4,Fast-moving,0,23,1,Body,31
82858516,corner panel; right,16,279.18,343,FH4,Fast-moving,3,25,0,Body,32
21243844,MAIN SWITCH,25,260.35,24000,FH13,Dead stock,0,0,0,Body,32
20440409,Exhaust gasket,30,3980.36,100000,FH12-420,Dead stock,0,0,0,Engine,37
21838945,Front bumper,19,397.31,489,FH4,Fast-moving,0,28,0,Body,38
82304585,HEADLAMP,40,1357.1,90000,FH13,Fast-moving,0,0,0,Body,47
82304599,HEADLAMP,40,1357.1,90000,FH13,Fast-moving,0,0,0,Body,47
1069255,Gear,75,529.79,65000,FH12,Slow-moving,0,4,35,Gearbox,48
3092575,Oil filter base gasket,50,163.77,12000,FH12,Fast-moving,0,0,0,Gearbox,57
8149182,Engine body,50,155.51,10000,FH12,Fast-moving,0,0,0,Engine,57
20710229,Oil filter base gasket,50,269.06,14000,FH12,Fast-moving,0,2,0,Engine,59
21829051,BUMPER,50,465.04,33000,FH12,Fast-moving,0,3,0,Body,60
21249472,MOULDING,50,273.66,22000,FH13,Fast-moving,0,5,0,Body,63
21351717,Oil filter base gasket,120,110.64,6500,FH13,Fast-moving,18,36,78,Engine,63
20459326,Exhaust tank clamp,120,134.49,2500,FH12,Dead stock,0,3,61,Engine,63
21829052,BUMPER,50,465.04,33000,FH12,Fast-moving,0,7,1,Body,64
21828914,BUMPER,50,562.37,60000,FH12,Fast-moving,0,7,0,Body,65
20509932,O-ring bushing,60,425.89,20000,FH12,Dead stock,0,0,2,Engine,65
20453900,Fender,36,441.09,20000,FH12,Fast-moving,0,69,10,Body,72
20740798,Intake valve,120,168.41,7000,FH13,Slow-moving,12,0,36,Engine,75
20476025,Piston ring kit,75,163.86,15000,FH12,Fast-moving,0,0,0,Gearbox,82
3169573,Crankshaft rear oil seal,53,32.14,1000,FH12,Fast-moving,0,89,0,Gearbox,105
85108352,CRANKSHAFT SEAL,100,191.19,18000,FH12,Slow-moving,0,0,0,Engine,107
20768519,Exhaust valve,120,168.02,7000,FH13,Slow-moving,0,0,12,Engine,114
20441486,Exhaust valve,120,170.69,2500,FH12,Slow-moving,0,3,9,Engine,120
276949,Exhaust gasket,120,298.69,20000,FH12,Dead stock,0,0,0,Engine,127
20515059,Alternator belt,120,2119.7,120000,FH12,Fast-moving,0,0,0,Engine,127
20779040,Gear box filter,70,86.02,106,FH13-480,Fast-moving,433,559,45,Lubricant,139
8170959,Power steering pump,150,26.01,1200,FH12,Fast-moving,0,21,0,Engine,180
349619,Filter,103,27.89,750,FH12,Fast-moving,266,481,58,Lubricant,206
21510072,Crankshaft rear oil seal,100,446.97,28000,FH13,Fast-moving,4,99,0,Engine,212
85124276,Injector bushing,120,96.52,6000,FH12,Medium-moving,0,93,6,Engine,223
20430583,Turbocharger,60,2831.67,100000,FH12,Fast-moving,12,189,9,Engine,253
20503200,Water pipe seal,300,96.05,9000,FH12,Fast-moving,0,0,0,Engine,307
20867177,Exhaust kit,300,72.15,5000,FM,Fast-moving,0,17,12,Engine,313
1069254,Water pipe seal,350,147.07,12000,FH12,Fast-moving,0,0,0,Gearbox,357
21209650,Piston and sleeve,360,2216.05,150000,FH13,Medium-moving,0,12,18,Engine,360
